14.4us,miss
8.5us,miss
11.8us,miss
11.7us,miss
9.3us,miss
6.9us,miss
8us,miss
8.2us,miss
8.4us,miss
8.4us,miss
18.9us,miss
18.6us,miss
18.5us,miss
17.9us,miss
20.8us,miss
28.4us,miss
17.7us,miss
23.5us,miss
0.9us,hit
21us,miss
19.4us,miss
17.8us,miss
19.1us,miss
1.4us,hit
20us,miss
19.5us,miss
19.4us,miss
19us,miss
19.8us,miss
18.1us,miss
19.4us,miss
23.7us,miss
23.5us,miss
27.2us,miss
17.7us,miss
17.5us,miss
16.4us,miss
18us,miss
16.7us,miss
0.8us,hit
19.2us,miss
15.6us,miss
19us,miss
18.7us,miss
20.1us,miss
17.1us,miss
23.1us,miss
20us,miss
18us,miss
16.9us,miss
17.2us,miss
15.9us,miss
19.3us,miss
17.8us,miss
15.7us,miss
17.1us,miss
15.2us,miss
16.1us,miss
19.5us,miss
1.4us,hit
17.5us,miss
16.8us,miss
16.6us,miss
17us,miss
16.6us,miss
17.7us,miss
16.1us,miss
15.8us,miss
18.8us,miss
17.1us,miss
16.9us,miss
16.2us,miss
19.7us,miss
16.9us,miss
16.3us,miss
0.8us,hit
15.1us,miss
17.2us,miss
17.5us,miss
16.9us,miss
16.6us,miss
15.8us,miss
16.9us,miss
16.7us,miss
17.5us,miss
17.8us,miss
16.1us,miss
16.6us,miss
16.1us,miss
15.9us,miss
15.9us,miss
17.6us,miss
17.2us,miss
15.1us,miss
18.4us,miss
16.7us,miss
17.3us,miss
20.3us,miss
18.7us,miss
15.9us,miss
16us,miss
15.8us,miss
16.1us,miss
15.9us,miss
16.9us,miss
16.7us,miss
16.1us,miss
15.9us,miss
16.3us,miss
15us,miss
16.8us,miss
17.9us,miss
16.3us,miss
15.7us,miss
16.6us,miss
18.6us,miss
18us,miss
0.8us,hit
17.3us,miss
16.9us,miss
16.9us,miss
15.7us,miss
16.4us,miss
15.8us,miss
16.2us,miss
16.5us,miss
17.3us,miss
16.6us,miss
16.6us,miss
17.6us,miss
15.3us,miss
16.7us,miss
16.1us,miss
17.4us,miss
16.3us,miss
16.3us,miss
18.7us,miss
15.9us,miss
15.6us,miss
15.8us,miss
15.5us,miss
29.8us,miss
17.1us,miss
16.3us,miss
15.3us,miss
15.4us,miss
16.9us,miss
16.5us,miss
19.8us,miss
16.9us,miss
15.8us,miss
17.7us,miss
25.6us,miss
18.5us,miss
16.6us,miss
16.1us,miss
16.9us,miss
0.8us,hit
18us,miss
17.6us,miss
16.4us,miss
18.2us,miss
16.5us,miss
16.6us,miss
16.2us,miss
17.6us,miss
15.4us,miss
15.4us,miss
0.8us,hit
18.6us,miss
17.8us,miss
19.3us,miss
16.2us,miss
15.4us,miss
15.2us,miss
15.9us,miss
17.8us,miss
17.5us,miss
16.3us,miss
16us,miss
15.2us,miss
16.7us,miss
16.2us,miss
16.6us,miss
16.6us,miss
18.9us,miss
20.8us,miss
15.7us,miss
16.6us,miss
14.8us,miss
16.2us,miss
21.5us,miss
16.9us,miss
15.3us,miss
16us,miss
16.7us,miss
16.4us,miss
14.8us,miss
21.1us,miss
17.3us,miss
16.1us,miss
20.1us,miss
30.6us,miss
23.3us,miss
16.9us,miss
17.7us,miss
19.8us,miss
22.6us,miss
